Date of Offense,Time of Offense,Date Offense Reported,Report Year,Month,CCN,District,Block Location,Type of Hate Bias,Targeted Group,Top Offense Type,Address,gcode,lat,long,zipcodes
2012-01-08,1500-1505,2012-01-08,2012,1,12003845,3,1600 B/O 17th St NW ,Sexual Orientation,Not Reported,Threats,1600  17th St NW  Washington DC,"1600, 17th Street Northwest, Dupont Circle, Washington, District of Columbia, 20009, United States",38.91125,-77.038588,20009
2012-01-14,0240-0250,2012-01-14,2012,1,12006716,3,1800 B/O 14th St NW,Sexual Orientation,Not Reported,Simple Assault,1800  14th St NW Washington DC,"1800, 14th Street Northwest, Cardozo/Shaw, Washington, District of Columbia, 20009, United States",38.914217,-77.032054,20009
2012-01-22,145,2012-01-22,2012,1,12010626,7,1300 B/O Alabama Ave SE,Sexual Orientation,Not Reported,ADW,1300  Alabama Ave SE Washington DC,"1300, Alabama Avenue Southeast, Washington, District of Columbia, 20032, United States",38.845056,-76.987412,20020
2012-01-22,1930,2012-01-22,2012,1,12010912,1,600 B/O H St NW,Race,Asian,Threats,600  H St NW Washington DC,"600, H Street Northwest, Chinatown, Washington, District of Columbia, 20001, United States",38.899729,-77.020065,20001
2012-02-06,1900,2012-02-06,2012,2,12018396,3,1300 B/O Park Rd NW,Sexual Orientation,Not Reported,Simple Assault,1300  Park Rd NW Washington DC,"1300, Park Road Northwest, Columbia Heights, Washington, District of Columbia, 20010, United States",38.931198,-77.029808,20010
2012-02-08,1200-1230,2012-02-09,2012,2,12019568,1,400 B/O 3rd St SE,Race,Black,Threats,400  3rd St SE Washington DC,"400, 3rd Street Southeast, Capitol Hill, Washington, District of Columbia, 20003, United States",38.884151,-77.001933,20003
2012-02-14,0900-0915,2012-02-14,2012,2,12021883,1,1400 B/O Independence Ave SW,Ethnicity/National Origin,Unspecified,Simple Assault,1400  Independence Ave SW Washington DC,"United States Department of Agriculture, 1400, Independence Avenue Southwest, Washington, District of Columbia, 20250, United States",38.88784125,-77.02999395373052,20250
2012-02-21,1010,2012-02-21,2012,2,12025144,2,1500 B/O M St NW,Ethnicity/National Origin,Asian,Threats,1500  M St NW Washington DC,"1500, M Street Northwest, Golden Triangle, Washington, District of Columbia, 20005, United States",38.905565,-77.034725,20005
2012-02-23,0150-0153,2012-02-23,2012,2,12026003,4,700 B/O Upshur St NW,Sexual Orientation,Not Reported,Robbery,700  Upshur St NW Washington DC,"700, Upshur Street Northwest, Petworth, Washington, District of Columbia, 20011, United States",38.9418187,-77.0220473,20011
2012-03-11,0636-0700,2012-03-11,2012,3,12034069,3,3100 B/O 14th St NW,Sexual Orientation,Not Reported,ADW,3100  14th St NW Washington DC,"Letena, 3100, 14th Street Northwest, Columbia Heights, Washington, District of Columbia, 20010, United States",38.9303999,-77.0335651,20010
2012-03-16,2315,2012-03-17,2012,3,12036881,6,4000 B/O Minnesota Ave NE,Sexual Orientation,Not Reported,Robbery,4000  Minnesota Ave NE Washington DC,"4000, Minnesota Avenue Northeast, Central Northeast, Washington, District of Columbia, 20019, United States",38.89528,-76.94918,20019
2012-03-17,2100-2115,2012-03-19,2012,3,12038136,7,3400 B/O 22nd St SE,Gender Identity/Expression,Not Reported,Damage/Defacing/Destruction of Property,3400  22nd St SE Washington DC,"3400, 22nd Street Southeast, Shipley, Washington, District of Columbia, 20020, United States",38.847275,-76.97273,20020
2012-03-08,1655-1730,2012-03-20,2012,3,12038547,1,1000 B/O Independence Ave SW,Sexual Orientation,Not Reported,Threats,1000  Independence Ave SW Washington DC,"James Forrestal Energy Department Building, 1000, Independence Avenue Southwest, Washington, District of Columbia, 20585, United States",38.88649535,-77.0249351124279,20585
2012-03-25,0257-0258,2012-03-25,2012,3,12040991,3,2000 B/O 9th St NW,Sexual Orientation,Not Reported,Simple Assault,2000  9th St NW Washington DC,"2000, 9th Street Northwest, Greater U Street Historic District, Washington, District of Columbia, 20060, United States",38.9172035,-77.0241522,20009
2012-03-27,1400-1435,2012-03-27,2012,3,12042017,7,3000 B/O 9th St SE,Sexual Orientation,Not Reported,Simple Assault,3000  9th St SE Washington DC,"3000, 9th Street Southeast, Congress Heights, Washington, District of Columbia, 20032, United States",38.844782,-76.993401,20032
2012-03-29,150,2012-03-29,2012,3,12042817,2,2800 B/O Pennsylvania Ave NW,Ethnicity/National Origin,Arab/Middle Eastern,Simple Assault,2800  Pennsylvania Ave NW Washington DC,"Four Seasons Hotel Washington, DC, 2800, Pennsylvania Avenue Northwest, Georgetown, Washington, District of Columbia, 20037, United States",38.90460805,-77.05723344512253,20037
2012-08-23,1200-1800,2012-04-04,2012,4,12046039,6,4200 B/O Gault Pl NE,Sexual Orientation,Not Reported,Threats,4200  Gault Pl NE Washington DC,"4200, Gault Pl NE, Central Northeast, Washington, District of Columbia, 20019, United States",38.899142,-76.942436,20019
2012-04-13,1833-1845,2012-04-13,2012,4,12050382,7,1900 B/O Mississippi Ave SE,Sexual Orientation,Not Reported,Simple Assault,1900  Mississippi Ave SE Washington DC,"1900, Mississippi Avenue Southeast, Washington, Prince George's County, District of Columbia, 20020, United States",38.843917,-76.976117,20020
2012-04-17,0550-0559,2012-04-17,2012,4,12052005,5,3100 B/O Central Ave NE,Sexual Orientation,Not Reported,Robbery,3100  Central Ave NE Washington DC,"3100, Central Avenue Northeast, Woodridge, Washington, District of Columbia, 20018, United States",38.930088,-76.966477,20018
2012-04-17,2140,2012-04-17,2012,4,12052410,4,1500 B/O Ogden St NW,Gender Identity/Expression,Not Reported,Threats,1500  Ogden St NW Washington DC,"Ogden Market, 1500, Ogden Street Northwest, Columbia Heights, Washington, District of Columbia, 20010, United States",38.9353976,-77.034944,20010
2012-04-06,0832-1241,2012-04-18,2012,4,12052642,2,1300 B/O Pennsylvania Ave NW,Race,Black,Threats,1300  Pennsylvania Ave NW Washington DC,"Woodrow Wilson International Center for Scholars, 1300, Pennsylvania Avenue Northwest, Washington, District of Columbia, 20004, United States",38.8933288,-77.030034,20004
2012-04-04,200,2012-05-02,2012,5,12059617,3,1800 B/O 14th St NW,Race,Black,Simple Assault,1800  14th St NW Washington DC,"1800, 14th Street Northwest, Cardozo/Shaw, Washington, District of Columbia, 20009, United States",38.914217,-77.032054,20009
2012-05-03,2149-2248,2012-05-04,2012,5,12060407,5,1400 B/O Blk of V St NW,Sexual Orientation,Not Reported,Threats,1400   V St NW Washington DC,"1400, V Street Northwest, Greater U Street Historic District, Washington, District of Columbia, 20009, United States",38.91803,-77.032961,20009
2012-05-08,830,2012-05-08,2012,5,12062696,4,700 B/O Princeton Pl NW,Race,Black,Damage/Defacing/Destruction of Property,700  Princeton Pl NW Washington DC,"700, Princeton Place Northwest, Park View, Washington, District of Columbia, 20010, United States",38.935502,-77.021292,20010
2012-06-01,230,2012-06-01,2012,6,12075322,3,2000 B/O 9th St NW,Race,Unspecified,Simple Assault,2000  9th St NW Washington DC,"2000, 9th Street Northwest, Greater U Street Historic District, Washington, District of Columbia, 20060, United States",38.9172035,-77.0241522,20009
2012-06-05,0312-0345,2012-06-05,2012,6,12077382,1,200 B/O K St NW,Race,Unspecified,Simple Assault,200  K St NW Washington DC,"200, K Street Northwest, Mount Vernon Square, Washington, District of Columbia, 20001, United States",38.902433,-77.013878,20001
2012-06-08,0121-0130,2012-06-08,2012,6,12079020,3,900 B/O Q St NW,Sexual Orientation,Not Reported,ADW,900  Q St NW Washington DC,"Q Street Northwest, Logan Circle/Shaw, Washington, District of Columbia, 20005:20018, United States",38.9108968,-77.0267403,20001
2012-06-08,0220-0223,2012-06-08,2012,6,12079041,3,1600 B/O R St NW,Sexual Orientation,Not Reported,Simple Assault,1600  R St NW Washington DC,"1600, R Street Northwest, Dupont Circle, Washington, District of Columbia, 20009, United States",38.912527,-77.03667,20009
2012-06-23,2220-2225,2012-06-23,2012,6,12087498,3,1400 B/O 14th St NW,Sexual Orientation,Not Reported,Simple Assault,1400  14th St NW Washington DC,"Mai Place DC, 1400, 14th Street Northwest, Logan Circle/Shaw, Washington, District of Columbia, 20005, United States",38.90898285,-77.03225563481675,20005
