,name,album,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
1,Picture To Burn,Taylor Swift,2006-10-24,173,64,0.658,0.173,0.877,0.0,0.0962,-2.098,0.0323,0.821,105.586
2,Our Song,Taylor Swift,2006-10-24,201,68,0.668,0.111,0.672,0.0,0.329,-4.931,0.0303,0.539,89.011
3,Should've Said No,Taylor Swift,2006-10-24,242,61,0.476,0.0103,0.777,0.0,0.196,-3.771,0.0289,0.472,167.964
4,Tim McGraw,Taylor Swift,2006-10-24,232,62,0.58,0.575,0.491,0.0,0.121,-6.462,0.0251,0.425,76.009
5,A Place in this World,Taylor Swift,2006-10-24,199,51,0.576,0.051,0.777,0.0,0.32,-2.881,0.0324,0.428,115.028
6,Cold As You,Taylor Swift,2006-10-24,239,51,0.418,0.217,0.482,0.0,0.123,-5.769,0.0266,0.261,175.558
7,The Outside,Taylor Swift,2006-10-24,207,48,0.589,0.00491,0.805,0.0,0.24,-4.055,0.0293,0.591,112.982
8,Tied Together with a Smile,Taylor Swift,2006-10-24,248,49,0.479,0.525,0.578,0.0,0.0841,-4.963,0.0294,0.192,146.165
9,Stay Beautiful,Taylor Swift,2006-10-24,236,50,0.594,0.0868,0.629,0.0,0.137,-4.919,0.0246,0.504,131.597
10,Mary's Song (Oh My My My),Taylor Swift,2006-10-24,213,53,0.403,0.0177,0.627,0.0,0.182,-5.28,0.0292,0.374,74.9
11,I'm Only Me When I'm With You,Taylor Swift,2006-10-24,213,53,0.563,0.00452,0.934,0.000807,0.103,-3.629,0.0646,0.518,143.964
12,Invisible,Taylor Swift,2006-10-24,203,49,0.612,0.637,0.394,0.0,0.147,-5.723,0.0243,0.233,96.001
13,A Perfectly Good Heart,Taylor Swift,2006-10-24,220,46,0.483,0.00349,0.751,0.0,0.128,-5.726,0.0365,0.268,156.092
14,Teardrops on My Guitar - Pop Version,Taylor Swift,2006-10-24,179,50,0.459,0.0402,0.753,0.0,0.0863,-3.827,0.0537,0.483,199.997
15,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203,64,0.621,0.288,0.417,0.0,0.119,-6.941,0.0231,0.289,99.953
16,You Belong With Me,Fearless,2008-11-11,231,54,0.687,0.164,0.771,2.46e-05,0.112,-4.424,0.0384,0.445,129.964
17,White Horse,Fearless,2008-11-11,234,46,0.585,0.302,0.346,0.0,0.102,-8.014,0.0256,0.195,92.564
18,Fearless,Fearless,2008-11-11,242,47,0.598,0.0364,0.714,1.04e-06,0.31,-4.397,0.0273,0.467,99.979
19,Fifteen,Fearless,2008-11-11,294,47,0.559,0.0728,0.636,0.0,0.144,-4.4,0.0263,0.214,95.485
20,Jump Then Fall,Fearless,2008-11-11,237,46,0.618,0.111,0.687,0.0,0.0693,-5.737,0.0271,0.82,79.991
21,Untouchable,Fearless,2008-11-11,311,45,0.419,0.0583,0.454,3.78e-06,0.0974,-6.809,0.0335,0.288,200.017
22,Forever & Always - Piano Version,Fearless,2008-11-11,268,46,0.592,0.852,0.16,0.0,0.116,-10.785,0.0347,0.294,118.929
23,Come In With The Rain,Fearless,2008-11-11,238,44,0.527,0.0868,0.475,4.34e-06,0.248,-6.205,0.0258,0.224,143.962
24,SuperStar,Fearless,2008-11-11,261,42,0.61,0.367,0.531,0.0,0.351,-6.123,0.0239,0.228,85.979
25,The Other Side Of The Door,Fearless,2008-11-11,238,44,0.476,0.169,0.816,0.0,0.238,-4.279,0.0347,0.469,163.847
26,Hey Stephen,Fearless,2008-11-11,254,44,0.843,0.168,0.553,2.66e-06,0.107,-7.348,0.0317,0.825,115.997
27,Breathe,Fearless,2008-11-11,264,48,0.498,0.373,0.486,0.0,0.113,-7.384,0.0273,0.17,147.952
28,Tell Me Why,Fearless,2008-11-11,201,42,0.601,0.0606,0.852,3.41e-06,0.37,-3.096,0.0386,0.513,100.015
29,You're Not Sorry,Fearless,2008-11-11,262,44,0.459,0.13,0.459,2.3e-06,0.113,-4.126,0.0275,0.281,134.018
30,The Way I Loved You,Fearless,2008-11-11,244,46,0.436,0.0322,0.712,0.0,0.111,-3.689,0.0329,0.379,160.886
31,Forever & Always,Fearless,2008-11-11,225,46,0.605,0.0907,0.829,0.0,0.106,-4.993,0.0549,0.514,128.012
32,The Best Day,Fearless,2008-11-11,245,42,0.664,0.611,0.447,1e-06,0.139,-8.535,0.0292,0.364,126.079
33,Change,Fearless,2008-11-11,281,41,0.548,0.00471,0.756,0.0,0.117,-4.175,0.036,0.224,96.038
44,Mean,Speak Now,2010-10-25,238,54,0.568,0.452,0.761,0.0,0.217,-3.987,0.0459,0.789,163.974
45,The Story Of Us,Speak Now,2010-10-25,266,55,0.543,0.00478,0.818,0.000368,0.0357,-3.611,0.0398,0.683,139.898
46,Speak Now,Speak Now,2010-10-25,241,53,0.709,0.095,0.599,0.0,0.0973,-3.734,0.0304,0.735,118.975
